sensor_id,room_number,room_type,type,attached_to,apartment,cluster_name,sensor_iri,measurement_point_iri,room_iri,asset_iri,water_kind_iri
S0152,R037,Living room,cold water consumption,Kitchen tap,APT_019,CL_D,https://w3id.org/eautonome/hsbSensorS0152,https://w3id.org/eautonome/hsbMeasurementPointS0152,https://w3id.org/eautonome/hsbRoomR037,https://w3id.org/eautonome/hsbAssetS0152,https://w3id.org/eautonome/hsbColdWater
S0153,R037,Living room,hot water consumption,Washbasin,APT_019,CL_D,https://w3id.org/eautonome/hsbSensorS0153,https://w3id.org/eautonome/hsbMeasurementPointS0153,https://w3id.org/eautonome/hsbRoomR037,https://w3id.org/eautonome/hsbAssetS0153,https://w3id.org/eautonome/hsbHotWater
S0154,R037,Living room,cold water consumption,Washbasin,APT_019,CL_D,https://w3id.org/eautonome/hsbSensorS0154,https://w3id.org/eautonome/hsbMeasurementPointS0154,https://w3id.org/eautonome/hsbRoomR037,https://w3id.org/eautonome/hsbAssetS0154,https://w3id.org/eautonome/hsbColdWater
S0155,R038,Living room,hot water consumption,Washbasin,APT_028,CL_D,https://w3id.org/eautonome/hsbSensorS0155,https://w3id.org/eautonome/hsbMeasurementPointS0155,https://w3id.org/eautonome/hsbRoomR038,https://w3id.org/eautonome/hsbAssetS0155,https://w3id.org/eautonome/hsbHotWater
S0156,R038,Living room,cold water consumption,Washbasin,APT_028,CL_D,https://w3id.org/eautonome/hsbSensorS0156,https://w3id.org/eautonome/hsbMeasurementPointS0156,https://w3id.org/eautonome/hsbRoomR038,https://w3id.org/eautonome/hsbAssetS0156,https://w3id.org/eautonome/hsbColdWater
S0157,R037,Living room,cold water consumption,Toilet,APT_019,CL_D,https://w3id.org/eautonome/hsbSensorS0157,https://w3id.org/eautonome/hsbMeasurementPointS0157,https://w3id.org/eautonome/hsbRoomR037,https://w3id.org/eautonome/hsbAssetS0157,https://w3id.org/eautonome/hsbColdWater
S0158,R038,Living room,cold water consumption,Toilet,APT_028,CL_D,https://w3id.org/eautonome/hsbSensorS0158,https://w3id.org/eautonome/hsbMeasurementPointS0158,https://w3id.org/eautonome/hsbRoomR038,https://w3id.org/eautonome/hsbAssetS0158,https://w3id.org/eautonome/hsbColdWater
S0159,R047,Living room,hot water consumption,Kitchen tap,APT_007,CL_G,https://w3id.org/eautonome/hsbSensorS0159,https://w3id.org/eautonome/hsbMeasurementPointS0159,https://w3id.org/eautonome/hsbRoomR047,https://w3id.org/eautonome/hsbAssetS0159,https://w3id.org/eautonome/hsbHotWater
S0160,R047,Living room,cold water consumption,Kitchen tap,APT_007,CL_G,https://w3id.org/eautonome/hsbSensorS0160,https://w3id.org/eautonome/hsbMeasurementPointS0160,https://w3id.org/eautonome/hsbRoomR047,https://w3id.org/eautonome/hsbAssetS0160,https://w3id.org/eautonome/hsbColdWater
S0161,R046,Living room,hot water consumption,Kitchen tap,APT_020,CL_G,https://w3id.org/eautonome/hsbSensorS0161,https://w3id.org/eautonome/hsbMeasurementPointS0161,https://w3id.org/eautonome/hsbRoomR046,https://w3id.org/eautonome/hsbAssetS0161,https://w3id.org/eautonome/hsbHotWater
S0162,R046,Living room,cold water consumption,Kitchen tap,APT_020,CL_G,https://w3id.org/eautonome/hsbSensorS0162,https://w3id.org/eautonome/hsbMeasurementPointS0162,https://w3id.org/eautonome/hsbRoomR046,https://w3id.org/eautonome/hsbAssetS0162,https://w3id.org/eautonome/hsbColdWater
S0163,R046,Living room,hot water consumption,Washbasin,APT_020,CL_G,https://w3id.org/eautonome/hsbSensorS0163,https://w3id.org/eautonome/hsbMeasurementPointS0163,https://w3id.org/eautonome/hsbRoomR046,https://w3id.org/eautonome/hsbAssetS0163,https://w3id.org/eautonome/hsbHotWater
S0164,R046,Living room,cold water consumption,Washbasin,APT_020,CL_G,https://w3id.org/eautonome/hsbSensorS0164,https://w3id.org/eautonome/hsbMeasurementPointS0164,https://w3id.org/eautonome/hsbRoomR046,https://w3id.org/eautonome/hsbAssetS0164,https://w3id.org/eautonome/hsbColdWater
